sorte_nr;sorte;farbe;stock_nr;anz_trauben;ertrag_g;40_beeren_g;beerengew_g;em_blatt_1;em_blatt_2;em_blatt_3;em_blatt_4;em_blatt_5;fm_blatt_1;fm_blatt_2;fm_blatt_3;fm_blatt_4;fm_blatt_5
19;Marechal Foch;r;45.2.1;32;5356;57;1.425;20;20;5;30;40;0;0;0;0;0
19;Marechal Foch;r;45.2.2;21;3586;58;1.45;40;10;10;10;20;0;0;0;0;0
19;Marechal Foch;r;45.2.3;27;3958;52;1.3;40;50;5;40;10;0;0;0;0;0
19;Marechal Foch;r;45.2.4;37;5358;63;1.575;10;5;50;20;50;0;0;0;0;0
19;Marechal Foch;r;45.2.5;22;3138;62;1.55;20;10;10;10;20;0;0;0;0;0
20;Seyval blanc;w;46.2.1;29;6214;73;1.825;20;2;10;40;0;10;0.5;0;0;0
20;Seyval blanc;w;46.2.2;16;4601;94;2.35;20;0;30;30;20;0;0;0;0;0
20;Seyval blanc;w;46.2.3;25;6537;82;2.05;0;10;40;50;0;0;0;0;0;0
20;Seyval blanc;w;46.2.4;21;3126;67;1.675;10;20;10;60;20;0;0;0;0;0
20;Seyval blanc;w;46.2.5;18;3989;74;1.85;40;70;30;40;60;0;0;0;0;0
21;Leon Millot;r;47.2.1;14;939;44;1.1;20;60;60;30;20;0;0;0;0;0
21;Leon Millot;r;47.2.2;28;2400;49;1.225;10;5;60;5;0;0;0;0;0;0
21;Leon Millot;r;47.2.3;25;2207;56;1.4;20;50;40;40;30;0;0;0;0;0
21;Leon Millot;r;47.2.4;18;1224;41;1.025;50;60;40;40;30;0;0;0;0;0
21;Leon Millot;r;47.2.5;36;3110;52;1.3;40;20;40;30;10;0;0;0;0;0
22;Bianca;w;48.2.1;22;5918;106;2.65;2;10;10;30;20;0;0;0;0;0
22;Bianca;w;48.2.2;19;4789;105;2.625;20;40;30;20;20;0;0;0;0;0
22;Bianca;w;48.2.3;19;4460;93;2.325;30;10;30;30;40;0;0;0;0;0
22;Bianca;w;48.2.4;20;7495;103;2.575;10;20;10;40;20;0;0;0;0;0
22;Bianca;w;48.2.5;21;4291;109;2.725;20;20;30;40;30;0;0;0;0;0
23;Chambourcin;r;49.2.1;15;5324;109;2.725;10;30;10;30;0;0;0;0;0;0
23;Chambourcin;r;49.2.2;19;6476;99;2.475;10;30;60;50;40;0;0;0;0;0
23;Chambourcin;r;49.2.3;31;5717;98;2.45;20;10;20;30;20;0;0;0;0;0
23;Chambourcin;r;49.2.4;21;5499;122;3.05;50;30;40;10;10;0;0;0;0;0
23;Chambourcin;r;49.2.5;12;3841;109;2.725;40;20;10;40;10;0;0;0;0;0
24;Vidal blanc;w;50.2.1;23;6884;86;2.15;20;50;40;40;20;0;0;0;0;0
24;Vidal blanc;w;50.2.2;23;3482;78;1.95;60;40;20;5;4;0;0;0;0;0
24;Vidal blanc;w;50.2.3;17;5718;82;2.05;60;10;30;60;40;0;0;0;0;0
24;Vidal blanc;w;50.2.4;29;7223;79;1.975;40;30;10;10;5;0;0;0;0;0
24;Vidal blanc;w;50.2.5;21;6569;100;2.5;10;0;10;5;30;0;0;0;0;0
25;Baco noir;r;51.2.1;26;2122;45;1.125;20;5;30;5;5;0;0;0;0;0
25;Baco noir;r;51.2.2;34;2505;41;1.025;10;60;60;60;5;0;0;0;0;0
25;Baco noir;r;51.2.3;19;1569;52;1.3;10;30;5;20;10;0;0;0;0;0
25;Baco noir;r;51.2.4;30;2024;37;0.925;30;40;30;0;60;0;0;0;0;0
25;Baco noir;r;51.2.5;23;1795;43;1.075;40;30;20;40;5;0;0;0;0;0
26;Magliasina;r;52.2.1;17;1934;108;2.7;0.5;10;5;5;10;0;0;0;0;0
26;Magliasina;r;52.2.2;NA;NA;NA;NA;10;5;30;10;20;0;0;0;0;0
26;Magliasina;r;52.2.3;NA;NA;NA;NA;40;50;60;10;20;0;0;0;0;0
26;Magliasina;r;52.2.4;8;342;67;1.675;0;10;5;5;10;0;0;0;0;0
26;Magliasina;r;52.2.5;17;847;86;2.15;5;10;20;5;10;0;0;0;0;0
27;Landal;r;53.2.1;20;2788;91;2.275;20;70;70;60;40;0;0;0;0;0
27;Landal;r;53.2.2;20;4665;90;2.25;10;20;5;30;20;0;0;0;0;0
27;Landal;r;53.2.3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
27;Landal;r;53.2.4;25;3120;85;2.125;30;70;10;60;60;0;0;0;0;0
27;Landal;r;53.2.5;9;515;72;1.8;40;60;70;50;70;0;0;0;0;0
28;Noah;w;54.2.1;23;4029;111;2.775;50;40;30;50;10;0;0;0;0;0
28;Noah;w;54.2.2;26;5036;130;3.25;50;30;10;10;40;0;0;0;0;0
28;Noah;w;54.2.3;35;5677;112;2.8;50;60;50;40;10;0;0;0;0;0
28;Noah;w;54.2.4;24;5717;108;2.7;40;10;60;40;50;0;0;0;0;0
28;Noah;w;54.2.5;31;5552;116;2.9;40;40;10;10;30;0;0;0;0;0
29;Plantet;r;55.2.1;21;4422;66;1.65;10;5;0;0;2;0;0;0;0;0
29;Plantet;r;55.2.2;20;4751;60;1.5;5;5;10;5;10;0;0;0;0;0
29;Plantet;r;55.2.3;17;3439;55;1.375;5;5;5;5;0;0;0;0;0;0
29;Plantet;r;55.2.4;24;3802;70;1.75;10;10;0;2;10;0;0;0;0;0
29;Plantet;r;55.2.5;24;3817;47;1.175;10;5;0;10;10;0;0;0;0;0
30;Helios;w;56.2.1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
30;Helios;w;56.2.2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
30;Helios;w;56.2.3;15;5385;81;2.025;5;5;0;2;2;0;0;0;0;0
30;Helios;w;56.2.4;23;4373;78;1.95;5;5;5;0;0;0;0;0;0;0
30;Helios;w;56.2.5;27;4568;87;2.175;30;0;5;0;0;0;0;0;0;0
31;Cabernet cortis;r;45.3.1;18;2855;71;1.775;10;20;30;20;10;0;0;0;0;0
31;Cabernet cortis;r;45.3.2;15;1832;79;1.975;5;10;20;5;5;0;0;0;0;0
31;Cabernet cortis;r;45.3.3;20;3170;75;1.875;10;20;50;30;10;0;0;0;0;0
31;Cabernet cortis;r;45.3.4;27;3366;64;1.6;20;20;20;10;20;0;0;0;0;0
31;Cabernet cortis;r;45.3.5;16;3784;55;1.375;40;40;5;10;5;0;0;0;0;0
32;Solaris;w;46.3.1;31;5858;67;1.675;60;40;20;20;20;0;0;0;0;0
32;Solaris;w;46.3.2;30;4803;62;1.55;60;20;10;5;2;0;0;0;0;0
32;Solaris;w;46.3.3;25;3317;68;1.7;20;40;40;5;40;0;0;0;0;0
32;Solaris;w;46.3.4;27;3139;58;1.45;40;20;40;10;40;0;0;0;0;0
32;Solaris;w;46.3.5;23;3719;51;1.275;30;20;10;50;40;0;0;0;0;0
33;Prior;r;47.3.1;9;2884;91;2.275;10;30;5;60;0;0;0;0;0;0
33;prior;r;47.3.2;18;5540;88;2.2;60;5;70;10;70;0;0;0;0;0
33;Prior;r;47.3.3;19;5948;98;2.45;5;0;10;5;20;0;0;0;0;0
33;Prior;r;47.3.4;22;8321;78;1.95;50;10;60;40;10;0;0;0;0;0
33;Prior;r;47.3.5;19;5052;95;2.375;0;30;60;10;20;0;0;0;0;0
34;Souvignier gris;w;48.3.1;11;2666;88;2.2;0;40;10;20;5;0;0;0;0;0
34;Souvignier gris;w;48.3.2;21;5308;90;2.25;5;30;5;5;30;0;0;0;0;0
34;Souvignier gris;w;48.3.3;14;5223;97;2.425;5;5;5;10;50;0;0;0;0;0
