sorte_nr;brix;oechsle;rel_dichte;pH;titr_GS_gl;WS_gl;AS_gl;formol;zucker_gl;gluc_gl;fruc_gl;nh3_mgl;nopa_mgl;Nhefev_mgl
19;23.0;96.2;1.0962;3.34;8.1;6.9;3.5;14.6;226;114;111;41;171;205
20;21.5;89.7;1.0897;3.27;6.0;7.7;2.6;7.1;208;91;117;4;96;99
21;23.0;96.3;1.0963;3.45;4.8;6.6;2.2;9.9;220;97;123;9;130;138
22;21.7;90.5;1.0905;3.42;5.8;6.3;2.5;9.8;214;102;113;12;127;137
23;17.9;73.6;1.0736;3.04;10.1;8.1;4.2;6.3;167;80;87;12;79;89
24;19.6;80.9;1.0809;3.15;6.9;6.9;2.6;9.3;196;95;101;38;99;130
25;21.4;89.3;1.0893;3.22;7.7;7.7;2.7;17.9;204;94;110;49;210;251
26;21.2;88.3;1.0883;3.16;6.1;9.6;1.2;6.5;208;86;121;23;73;91
27;22.3;93.1;1.0931;3.25;7.0;6.3;3.3;7.4;224;108;116;12;94;104
28;19.9;82.3;1.0823;3.16;8.2;7.4;3.6;6.9;197;95;102;11;88;97
29;21.6;89.9;1.0899;3.16;6.8;7.7;2.0;7.0;218;107;111;3;95;98
30;21.8;91.1;1.0911;3.16;8.9;6.4;4.7;7.4;213;103;111;9;97;104
31;24.0;100.8;1.1008;3.20;6.3;6.5;2.4;8.9;250;126;125;25;104;124
32;26.7;113.6;1.1136;3.34;5.1;7.5;0.9;19.9;264;117;146;41;245;278
33;18.1;74.5;1.0745;3.16;7.2;6.8;3.1;6.7;186;92;94;17;81;94
34;22.2;92.5;1.0925;3.19;6.9;7.8;2.3;8.4;225;110;115;11;109;118
35;25.3;106.7;1.1067;3.52;3.5;5.4;1.9;14.1;258;126;132;31;172;198
36;23.4;98.3;1.0983;3.26;5.7;7.2;2.1;10.1;242;116;126;45;105;142
37;20.2;83.5;1.0835;3.13;7.5;7.6;2.3;8.0;204;105;99;25;92;113
38;19.5;80.7;1.0807;3.21;6.6;7.2;2.9;14.8;197;100;96;113;114;207
39;23.5;98.4;1.0984;3.24;6.1;7.3;1.4;14.8;239;112;126;32;181;208
40;21.2;88.1;1.0881;3.18;6.2;7.4;1.7;12.4;215;107;108;28;151;174
41;23.2;97.1;1.0971;3.20;6.1;7.9;1.9;5.7;228;103;125;1;79;80
42;19.8;81.9;1.0819;3.16;5.5;7.1;1.8;6.7;206;101;105;12;83;93
43;23.1;96.9;1.0969;3.49;6.2;5.7;3.3;13.0;238;125;113;77;119;182
44;20.8;86.6;1.0866;3.30;5.7;6.1;3.1;9.1;209;103;106;47;89;128
45;22.3;93.2;1.0932;3.27;6.0;6.0;3.3;7.6;224;107;116;19;90;106
46;20.5;85.0;1.0850;3.13;7.6;6.5;4.1;10.3;205;101;104;78;79;144
47;23.6;98.9;1.0989;3.31;5.3;6.4;2.4;7.8;237;112;125;28;85;108
48;23.1;96.8;1.0968;3.32;5.3;6.9;1.9;10.2;233;111;122;30;118;143
49;21.2;88.1;1.0881;3.19;6.8;7.5;2.7;10.8;208;101;107;64;99;151
50;16.7;68.4;1.0684;3.24;7.0;6.8;3.0;11.0;168;86;82;54;109;154
51;23.5;98.4;1.0984;3.32;4.1;6.8;0.6;20.5;250;125;126;20;270;287
52;20.4;84.5;1.0845;3.44;5.0;5.7;2.8;12.7;204;99;106;45;141;178
53;18.3;75.4;1.0754;3.27;5.4;6.9;1.8;8.8;187;93;94;34;95;123
54;20.2;83.9;1.0839;3.28;8.0;5.9;3.2;26.6;211;112;99;53;329;372
55;22.2;92.6;1.0926;3.27;7.8;5.8;3.8;16.2;215;105;110;13;216;227
