sorte_nr;gesund_prozent;krank_prozent;vogel_prozent;sonnenbrand_prozent;traubenwelke_prozent;stiellaehme_prozent;botrytis_prozent;essig_prozent
19;85;15;1;3;3;8;0;0
20;83;17;0;4;4;8;0;1
21;89;11;8;1;2;0;0;0
22;95;5;0;2;1;2;0;0
23;95;5;0;0;3;2;0;0
24;95;5;0;0;2;2;0;1
25;80;20;20;0;0;0;0;0
26;70;30;23;0;7;0;0;0
27;84;16;8;4;2;2;0;0
28;96;4;1;0;0;3;0;0
29;93;7;4;0;2;1;0;0
30;90;10;0;0;0;10;0;0
31;85;15;8;4;2;1;0;0
32;78;22;0;12;5;2;3;0
33;88;12;0;9;3;0;0;0
34;95;5;0;0;5;0;0;0
35;65;35;26;5;2;2;0;0
36;85;15;0;10;5;0;0;0
37;60;40;0;0;0;40;0;0
38;93;7;0;5;2;0;0;0
39;45;55;45;0;0;10;0;0
40;94;6;0;3;1;2;0;0
41;85;15;0;4;3;8;0;0
42;92;8;0;3;3;0;0;2
43;73;27;5;9;12;1;0;0
44;93;7;0;2;4;1;0;0
45;91;9;3;2;4;0;0;0
46;90;10;0;4;5;1;0;0
47;79;21;17;3;1;0;0;0
48;83;17;0;10;7;0;0;0
49;94;6;5;1;0;0;0;0
50;92;8;0;2;4;2;0;0
51;79;21;0;8;12;0;1;0
52;90;10;1;3;5;1;0;0
53;92;8;0;4;4;0;0;0
54;65;35;12;13;10;0;0;0
55;92;8;0;3;5;0;0;0
